code,note,prj4,prj_method
3819,HD1909,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
3821,TWD67,+proj=longlat +ellps=aust_SA +no_defs +type=crs,(null)
3822,TWD97,+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
3823,TWD97,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
3824,TWD97,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
3887,IGRS,+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
3888,IGRS,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
3889,IGRS,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
3906,MGI 1901,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4000,MOLDREF99,+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4001,Unknown datum based upon the Airy 1830 ellipsoid,+proj=longlat +ellps=airy +no_defs +type=crs,(null)
4002,Unknown datum based upon the Airy Modified 1849 ellipsoid,+proj=longlat +a=6377340.189 +rf=299.3249646 +no_defs +type=crs,(null)
4003,Unknown datum based upon the Australian National Spheroid,+proj=longlat +ellps=aust_SA +no_defs +type=crs,(null)
4004,Unknown datum based upon the Bessel 1841 ellipsoid,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4005,Unknown datum based upon the Bessel Modified ellipsoid,+proj=longlat +a=6377492.018 +rf=299.1528128 +no_defs +type=crs,(null)
4006,Unknown datum based upon the Bessel Namibia ellipsoid,+proj=longlat +ellps=bess_nam +no_defs +type=crs,(null)
4007,Unknown datum based upon the Clarke 1858 ellipsoid,+proj=longlat +a=6378293.64520876 +b=6356617.98767984 +no_defs +type=crs,(null)
4008,Unknown datum based upon the Clarke 1866 ellipsoid,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4009,Unknown datum based upon the Clarke 1866 Michigan ellipsoid,+proj=longlat +a=6378450.0475489 +b=6356826.62148844 +no_defs +type=crs,(null)
4010,Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid,+proj=longlat +a=6378300.789 +b=6356566.435 +no_defs +type=crs,(null)
4011,Unknown datum based upon the Clarke 1880 (IGN) ellipsoid,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4012,Unknown datum based upon the Clarke 1880 (RGS) ellipsoid,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4013,Unknown datum based upon the Clarke 1880 (Arc) ellipsoid,+proj=longlat +a=6378249.145 +rf=293.4663077 +no_defs +type=crs,(null)
4014,Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid,+proj=longlat +a=6378249.2 +rf=293.46598 +no_defs +type=crs,(null)
4015,Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid,+proj=longlat +ellps=evrst30 +no_defs +type=crs,(null)
4016,Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid,+proj=longlat +ellps=evrstSS +no_defs +type=crs,(null)
4017,MOLDREF99,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4018,Unknown datum based upon the Everest 1830 Modified ellipsoid,+proj=longlat +ellps=evrst48 +no_defs +type=crs,(null)
4019,Unknown datum based upon the GRS 1980 ellipsoid,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4020,Unknown datum based upon the Helmert 1906 ellipsoid,+proj=longlat +ellps=helmert +no_defs +type=crs,(null)
4021,Unknown datum based upon the Indonesian National Spheroid,+proj=longlat +a=6378160 +rf=298.247 +no_defs +type=crs,(null)
4022,Unknown datum based upon the International 1924 ellipsoid,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4023,MOLDREF99,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4024,Unknown datum based upon the Krassowsky 1940 ellipsoid,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4025,Unknown datum based upon the NWL 9D ellipsoid,+proj=longlat +ellps=NWL9D +no_defs +type=crs,(null)
4027,Unknown datum based upon the Plessis 1817 ellipsoid,+proj=longlat +a=6376523 +rf=308.64 +no_defs +type=crs,(null)
4028,Unknown datum based upon the Struve 1860 ellipsoid,+proj=longlat +a=6378298.3 +rf=294.73 +no_defs +type=crs,(null)
4029,Unknown datum based upon the War Office ellipsoid,+proj=longlat +a=6378300 +rf=296 +no_defs +type=crs,(null)
4030,Unknown datum based upon the WGS 84 ellipsoid,+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4031,Unknown datum based upon the GEM 10C ellipsoid,+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4032,Unknown datum based upon the OSU86F ellipsoid,+proj=longlat +a=6378136.2 +rf=298.257223563 +no_defs +type=crs,(null)
4033,Unknown datum based upon the OSU91A ellipsoid,+proj=longlat +a=6378136.3 +rf=298.257223563 +no_defs +type=crs,(null)
4034,Unknown datum based upon the Clarke 1880 ellipsoid,+proj=longlat +a=6378249.14480801 +b=6356514.96620413 +no_defs +type=crs,(null)
4035,Unknown datum based upon the Authalic Sphere,+proj=longlat +R=6371000 +no_defs +type=crs,(null)
4036,Unknown datum based upon the GRS 1967 ellipsoid,+proj=longlat +ellps=GRS67 +no_defs +type=crs,(null)
4039,RGRDC 2005,+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4040,RGRDC 2005,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4041,Unknown datum based upon the Average Terrestrial System 1977 ellipsoid,+proj=longlat +a=6378135 +rf=298.257 +no_defs +type=crs,(null)
4042,Unknown datum based upon the Everest (1830 Definition) ellipsoid,+proj=longlat +a=6377299.36559538 +b=6356098.35900516 +no_defs +type=crs,(null)
4043,Unknown datum based upon the WGS 72 ellipsoid,+proj=longlat +ellps=WGS72 +no_defs +type=crs,(null)
4044,Unknown datum based upon the Everest 1830 (1962 Definition) ellipsoid,+proj=longlat +a=6377301.243 +rf=300.8017255 +no_defs +type=crs,(null)
4045,Unknown datum based upon the Everest 1830 (1975 Definition) ellipsoid,+proj=longlat +a=6377299.151 +rf=300.8017255 +no_defs +type=crs,(null)
4046,RGRDC 2005,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4047,Unspecified datum based upon the GRS 1980 Authalic Sphere,+proj=longlat +R=6371007 +no_defs +type=crs,(null)
4052,Unspecified datum based upon the Clarke 1866 Authalic Sphere,+proj=longlat +ellps=sphere +no_defs +type=crs,(null)
4053,Unspecified datum based upon the International 1924 Authalic Sphere,+proj=longlat +R=6371228 +no_defs +type=crs,(null)
4054,Unspecified datum based upon the Hughes 1980 ellipsoid,+proj=longlat +a=6378273 +b=6356889.449 +no_defs +type=crs,(null)
4055,Popular Visualisation CRS,+proj=longlat +R=6378137 +no_defs +type=crs,(null)
4073,SREF98,+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4074,SREF98,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4075,SREF98,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4079,REGCAN95,+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4080,REGCAN95,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4081,REGCAN95,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4120,Greek,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4121,GGRS87,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4122,ATS77,+proj=longlat +a=6378135 +rf=298.257 +no_defs +type=crs,(null)
4123,KKJ,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4124,RT90,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4125,Samboja,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4126,LKS94 (ETRS89),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4127,Tete,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4128,Madzansua,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4129,Observatario,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4130,Moznet,+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4131,Indian 1960,+proj=longlat +ellps=evrst30 +no_defs +type=crs,(null)
