Site,Individual,Cluster 1,Cluster 2
Ber,Ber01,0.9999,1.00E-04
Ber,Ber02,0.9999,1.00E-04
Ber,Ber03,0.9999,1.00E-04
Ber,Ber04,0.9999,1.00E-04
Ber,Ber05,0.9999,1.00E-04
Ber,Ber06,0.9999,1.00E-04
Ber,Ber07,0.983102,0.0168983
Ber,Ber08,0.9999,1.00E-04
Ber,Ber09,0.9999,1.00E-04
Ber,Ber10,0.9999,1.00E-04
Ber,Ber11,0.9999,1.00E-04
Ber,Ber12,0.9999,1.00E-04
Ber,Ber13,0.9999,1.00E-04
Ber,Ber14,0.918105,0.0818945
Ber,Ber15,0.775744,0.224256
Ber,Ber16,0.9999,1.00E-04
Ber,Ber17,0.9999,1.00E-04
Ber,Ber18,0.9999,1.00E-04
Ber,Ber19,0.9999,1.00E-04
Ber,Ber20,0.9999,1.00E-04
Ber,Ber21,0.9999,1.00E-04
Ber,Ber22,0.9999,1.00E-04
Ber,Ber23,0.9999,1.00E-04
Ber,Ber24,0.9999,1.00E-04
Ber,Ber25,0.9999,1.00E-04
Ber,Ber26,0.942034,0.0579656
Ber,Ber27,0.9999,1.00E-04
Ber,Ber28,0.9999,1.00E-04
Ber,Ber29,0.9999,1.00E-04
Ber,Ber30,0.9999,1.00E-04
Ber,Ber31,0.312133,0.687867
Ber,Ber32,0.9999,1.00E-04
Ber,Ber33,0.9999,1.00E-04
Cro,Cro01,0.691711,0.308289
Cro,Cro02,0.9999,1.00E-04
Cro,Cro03,0.216786,0.783214
Cro,Cro04,0.713831,0.286169
Cro,Cro05,0.9999,1.00E-04
Cro,Cro06,0.9999,1.00E-04
Cro,Cro07,0.9999,1.00E-04
Cro,Cro09,0.9999,1.00E-04
Cro,Cro10,0.00975035,0.99025
Cro,Cro11,0.9999,1.00E-04
Cro,Cro12,0.0672047,0.932795
Cro,Cro13,0.9999,1.00E-04
Cro,Cro14,0.9999,1.00E-04
Cro,Cro15,0.944375,0.0556248
Cro,Cro16,0.9999,1.00E-04
Cro,Cro17,0.194039,0.805961
Cro,Cro18,0.9999,1.00E-04
Cro,Cro19,0.9999,1.00E-04
Cro,Cro20,0.799636,0.200364
Cro,Cro21,0.9999,1.00E-04
Cro,Cro22,0.764782,0.235218
Cro,Cro23,0.9999,1.00E-04
Cro,Cro24,0.9999,1.00E-04
Cro,Cro25,0.9999,1.00E-04
Cro,Cro26,0.9999,1.00E-04
Cro,Cro27,0.9999,1.00E-04
Cro,Cro28,0.989683,0.010317
Cro,Cro29,0.898657,0.101343
Cro,Cro30,0.577782,0.422218
Cro,Cro31,0.402648,0.597352
Cro,Cro32,0.9999,1.00E-04
Cro,Cro33,0.667019,0.332981
Cro,Cro34,0.9999,1.00E-04
Cro,Cro35,0.823987,0.176013
Cro,Cro36,0.9999,1.00E-04
Flo,Flo01,0.9999,1.00E-04
Flo,Flo03,0.9999,1.00E-04
Flo,Flo04,0.9999,1.00E-04
Flo,Flo05,0.9999,1.00E-04
Flo,Flo08,0.9999,1.00E-04
Flo,Flo09,0.9999,1.00E-04
Flo,Flo10,0.9999,1.00E-04
Flo,Flo11,0.9999,1.00E-04
Flo,Flo12,0.9999,1.00E-04
Flo,Flo13,0.9999,1.00E-04
Flo,Flo14,0.462802,0.537198
Flo,Flo15,0.9999,1.00E-04
Flo,Flo16,0.9999,1.00E-04
Flo,Flo17,0.9999,1.00E-04
Flo,Flo18,0.9999,1.00E-04
Flo,Flo19,0.9999,1.00E-04
Flo,Flo20,0.9999,1.00E-04
Flo,Flo21,0.9999,1.00E-04
Flo,Flo22,0.9999,1.00E-04
Flo,Flo23,0.9999,1.00E-04
Flo,Flo24,0.9999,1.00E-04
Flo,Flo25,0.9999,1.00E-04
Flo,Flo26,0.9999,1.00E-04
Flo,Flo27,0.9999,1.00E-04
Flo,Flo28,0.9999,1.00E-04
Flo,Flo29,0.9999,1.00E-04
Flo,Flo30,0.9999,1.00E-04
Flo,Flo31,0.9999,1.00E-04
Flo,Flo32,0.9999,1.00E-04
Flo,Flo33,0.978299,0.0217015
Flo,Flo34,0.9999,1.00E-04
Flo,Flo35,0.9999,1.00E-04
Flo,Flo36,0.9999,1.00E-04
Flo,Flo37,0.9999,1.00E-04
Flo,Flo38,0.9999,1.00E-04
Flo,Flo40,0.9999,1.00E-04
Hel,Hel01,0.9999,1.00E-04
Hel,Hel02,0.9999,1.00E-04
Hel,Hel03,0.9999,1.00E-04
Hel,Hel04,0.9999,1.00E-04
Hel,Hel05,0.9999,1.00E-04
Hel,Hel06,0.9999,1.00E-04
Hel,Hel08,0.9999,1.00E-04
Hel,Hel09,0.9999,1.00E-04
Hel,Hel10,0.933342,0.0666584
Hel,Hel11,0.9999,1.00E-04
Hel,Hel12,0.9999,1.00E-04
Hel,Hel13,0.9999,1.00E-04
Hel,Hel14,0.914328,0.085672
Hel,Hel15,0.974036,0.0259644
Hel,Hel16,0.747492,0.252508
Hel,Hel17,0.9999,1.00E-04
Hel,Hel18,0.9999,1.00E-04
Hel,Hel19,0.9999,1.00E-04
Hel,Hel20,0.970038,0.0299621
Hel,Hel21,0.9999,1.00E-04
Hel,Hel22,0.9999,1.00E-04
Hel,Hel23,0.9999,1.00E-04
Hel,Hel24,0.9999,1.00E-04
Hel,Hel26,0.916071,0.0839286
Hel,Hel27,0.9999,1.00E-04
Hel,Hel28,0.918972,0.0810284
Hel,Hel29,0.9999,1.00E-04
Hel,Hel30,0.9999,1.00E-04
Hel,Hel31,0.9999,1.00E-04
Hel,Hel32,0.9999,1.00E-04
Hel,Hel33,0.79388,0.20612
Hel,Hel34,0.9999,1.00E-04
Hel,Hel35,0.9999,1.00E-04
Hel,Hel36,0.9999,1.00E-04
Hel,Hel37,0.9999,1.00E-04
Idr17,Idr17_01,1.00E-04,0.9999
Idr17,Idr17_02,1.00E-04,0.9999
Idr17,Idr17_03,1.00E-04,0.9999
Idr17,Idr17_04,0.0660961,0.933904
Idr17,Idr17_05,1.00E-04,0.9999
Idr17,Idr17_06,0.466851,0.533149
Idr17,Idr17_07,2.61E-04,0.999739
Idr17,Idr17_08,0.9999,1.00E-04
Idr17,Idr17_09,0.9999,1.00E-04
Idr17,Idr17_10,1.00E-04,0.9999
Idr17,Idr17_11,1.00E-04,0.9999
Idr17,Idr17_12,0.9999,1.00E-04
Idr17,Idr17_13,0.261226,0.738774
Idr17,Idr17_14,1.00E-04,0.9999
Idr17,Idr17_15,0.354615,0.645385
Idr17,Idr17_16,0.346256,0.653744
Idr17,Idr17_17,1.00E-04,0.9999
Idr17,Idr17_18,0.9999,1.00E-04
Idr17,Idr17_19,0.0575296,0.94247
Idr17,Idr17_20,1.00E-04,0.9999
Idr17,Idr17_21,0.9999,1.00E-04
